row_num,ACQUISITION_TIME,ACQUISITION_DAY,ACQUISITION_HOUR,b
388,12/19/2013 16:01,12/19/2013,2013-12-19 16,0.96
389,12/19/2013 17:01,12/19/2013,2013-12-19 17,1.32
390,12/19/2013 18:01,12/19/2013,2013-12-19 18,0.47
391,12/19/2013 19:00,12/19/2013,2013-12-19 19,0.47
392,12/19/2013 20:00,12/19/2013,2013-12-19 20,0.47
393,12/19/2013 21:02,12/19/2013,2013-12-19 21,0.33
394,12/19/2013 22:04,12/19/2013,2013-12-19 22,0.47
395,12/19/2013 23:05,12/19/2013,2013-12-19 23,0.37
396,12/20/2013 0:05,12/20/2013,2013-12-20 00,0.33
397,12/20/2013 1:05,12/20/2013,2013-12-20 01,0.37
398,12/20/2013 2:06,12/20/2013,2013-12-20 02,0.37
399,12/20/2013 3:07,12/20/2013,2013-12-20 03,0.42
400,12/20/2013 4:08,12/20/2013,2013-12-20 04,0.33
401,12/20/2013 5:08,12/20/2013,2013-12-20 05,0.28
402,12/20/2013 6:09,12/20/2013,2013-12-20 06,0.33
403,12/20/2013 7:00,12/20/2013,2013-12-20 07,0.28
404,12/20/2013 8:00,12/20/2013,2013-12-20 08,0.28
405,12/20/2013 9:01,12/20/2013,2013-12-20 09,0.23
406,12/20/2013 10:02,12/20/2013,2013-12-20 10,0.28
407,12/20/2013 11:05,12/20/2013,2013-12-20 11,0.56
408,12/20/2013 12:05,12/20/2013,2013-12-20 12,0.46
409,12/20/2013 13:05,12/20/2013,2013-12-20 13,0.42
410,12/20/2013 14:05,12/20/2013,2013-12-20 14,0.65
411,12/20/2013 15:05,12/20/2013,2013-12-20 15,0.37
412,12/20/2013 16:07,12/20/2013,2013-12-20 16,0.56
413,12/20/2013 17:09,12/20/2013,2013-12-20 17,0.33
414,12/20/2013 18:00,12/20/2013,2013-12-20 18,0.28
415,12/20/2013 19:01,12/20/2013,2013-12-20 19,0.23
416,12/20/2013 20:01,12/20/2013,2013-12-20 20,0.14
417,12/20/2013 21:01,12/20/2013,2013-12-20 21,0.14
